完全修飾名(FQDN),種類,スコープ,更新回数,作成日,作成日ハッシュ,最終更新日,最終更新日ハッシュ,被参照数(ref_count),実利用フラグ(actual_use)
sources/dps_checkpoint.py::mark_complete,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_checkpoint.py::mark_complete.data,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::CACHE_FILE,variable,global,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_cache_key,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2,TRUE
sources/dps_chunk_embedder.py::_cache_key.mtime,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_cache_key.raw,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_load_cache,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_chunk_embedder.py::_load_cache.cache,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_load_cache.entry,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_save_cache,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_chunk_embedder.py::_split_chunks,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,3,TRUE
sources/dps_chunk_embedder.py::_split_chunks.chunks,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_split_chunks.start,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_split_chunks.end,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_embed_text,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_chunk_embedder.py::_embed_text.payload,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_embed_text.req,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::_embed_text.data,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.cfg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.key,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.cache,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.raw_chunks,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.result,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_chunk_embedder.py::embed_file_chunks.vec,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_config_loader.py::DEFAULT_CONFIG_PATH,variable,global,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_config_loader.py::load_config,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,7,TRUE
sources/dps_init.py::_embed_text,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_init.py::_embed_text.payload,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_init.py::_embed_text.req,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_init.py::_embed_text.data,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_init.py::build_prototype_vecs,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,FALSE
sources/dps_init.py::build_prototype_vecs.cfg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_init.py::build_prototype_vecs.url,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_init.py::build_prototype_vecs.model,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_mtime_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_meta_scorer.py::_mtime_score.days_old,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_keyword_hit_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2,TRUE
sources/dps_meta_scorer.py::_keyword_hit_score.tokens,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_keyword_hit_score.hits,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_filetype_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2,TRUE
sources/dps_meta_scorer.py::_path_depth_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_meta_scorer.py::_path_depth_score.depth,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_path_depth_score.diff,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_size_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_meta_scorer.py::_size_score.size,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_folder_density_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_meta_scorer.py::_folder_density_score.parent,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_folder_density_score.count,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.tokens,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.text,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.payload,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.req,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.data,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.vec,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::_semantic_path_score.score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,FALSE
sources/dps_meta_scorer.py::compute_meta_score.cfg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.kw_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.sem_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.mt_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.ft_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.pd_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.sz_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.fd_score,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_meta_scorer.py::compute_meta_score.s_meta,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_queue_builder.py::build_priority_queue,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,4,TRUE
sources/dps_queue_builder.py::build_priority_queue.sorted_records,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_queue_builder.py::build_priority_queue.entry,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_record_writer.py::write_record,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2,TRUE
sources/dps_record_writer.py::write_record.topics,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_record_writer.py::write_record.record,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_record_writer.py::write_record.out_path,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::_read_text,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_runner.py::_walk_files,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_runner.py::run,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_runner.py::run.root,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.cfg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.checkpoint,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.already_scored,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.prototype_vecs,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.files,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.all_records,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.json_path,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.rec,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.text,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.meta,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.yr,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.yw,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.decay,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.chunks,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.chunk_scores,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_runner.py::run.agg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::_rank_list,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,FALSE
sources/dps_sensitivity.py::_rank_list.sorted_r,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::spearman_rho,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2,TRUE
sources/dps_sensitivity.py::spearman_rho.n,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::spearman_rho.rank_x,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::spearman_rho.rank_y,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::spearman_rho.d_sq_sum,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::_rank_values,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
sources/dps_sensitivity.py::_rank_values.indexed,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::_rank_values.ranks,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::run_sensitivity,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,TRUE
sources/dps_sensitivity.py::run_sensitivity.base_scores,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::run_sensitivity.results,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::run_sensitivity.perturbed,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_sensitivity.py::run_sensitivity.rho,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::cosine_similarity,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,3,TRUE
sources/dps_topic_scorer.py::cosine_similarity.dot,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::cosine_similarity.norm_a,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::cosine_similarity.norm_b,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::temporal_decay,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,1,FALSE
sources/dps_topic_scorer.py::temporal_decay.days_old,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,3,TRUE
sources/dps_topic_scorer.py::compute_chunk_scores.results,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.n,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.sims,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.max_sim,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.top_idx,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.s_topic,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_topic_scorer.py::compute_chunk_scores.pos,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::YEAR_PATTERN,variable,global,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::extract_year,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,5,TRUE
sources/dps_year_classifier.py::extract_year.tokens,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::extract_year.matches,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::extract_year.years,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::extract_year.mtime,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::year_weight,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,5,TRUE
sources/dps_year_classifier.py::year_weight.cfg,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::year_weight.current_year,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::year_weight.diff,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::year_weight.weights,variable,local,0,(working_),working_,(working_),working_,0,FALSE
sources/dps_year_classifier.py::year_weight.key,variable,local,0,(working_),working_,(working_),working_,0,FALSE
tests/conftest.py::tmp_file,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/conftest.py::tmp_file.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/conftest.py::small_file,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/conftest.py::small_file.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/conftest.py::sample_config,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_empty_chunks,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_empty_chunks.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_formula,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_formula.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_formula.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_score_range,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_score_range.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_aggregator.py::test_aggregate_dps_score_range.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_checkpoint.py::test_load_checkpoint_no_file,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_checkpoint.py::test_load_checkpoint_no_file.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_checkpoint.py::test_save_and_load_checkpoint,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_checkpoint.py::test_save_and_load_checkpoint.cp_file,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_checkpoint.py::test_save_and_load_checkpoint.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_checkpoint.py::test_mark_complete,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_checkpoint.py::test_mark_complete.cp_file,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_checkpoint.py::test_mark_complete.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_small_text,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_small_text.text,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_small_text.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_large_text,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_large_text.text,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_large_text.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_overlap,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_overlap.text,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_split_chunks_overlap.chunks,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_cache_key_differs_on_mtime,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_chunk_embedder.py::test_cache_key_differs_on_mtime.p,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_cache_key_differs_on_mtime.key1,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_chunk_embedder.py::test_cache_key_differs_on_mtime.key2,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_config_loader.py::test_load_config_ok,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_config_loader.py::test_load_config_ok.cfg_path,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_config_loader.py::test_load_config_ok.result,variable,local,0,(working_),working_,(working_),working_,0,TRUE
tests/test_config_loader.py::test_load_config_missing_raises,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_mtime_score_recent,function,global,1,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,2026-05-15T16:18:57+09:00,e59d103a1397a518cb6520af971d8eeb1f041ed5,0,TRUE
tests/test_meta_scorer.py::test_mtime_score_recent.score,variable,local,0,(working_),working_,(working_),working_,0,TRUE
